land_use,management,weight,rules_static,rules_dynamic,operation,mgt1,mgt2,mgt3,mgt4,mgt5,mgt6,mgt7,mgt8,mgt9
FESC,,,subbasin == 3,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 360)",fertilizer,minN,,,0,0,,,,
FESC,,,subbasin == 4,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 360)",fertilizer,minN,,,0,0,,,,
FESC,,,subbasin == 5,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 360)",fertilizer,minN,,,0,0,,,,
FESC,,,subbasin == 1,"(md > 0405) * (md < 0415) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,orgN,,,19.89740303301377,0,,,,
FESC,,,subbasin == 2,"(md > 0405) * (md < 0415) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,orgN,,,19.1787274967172,0,,,,
FESC,,,subbasin == 3,"(md > 0405) * (md < 0415) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,orgN,,,18.55515733266465,0,,,,
FESC,,,subbasin == 4,"(md > 0405) * (md < 0415) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,orgN,,,26.486530626086385,0,,,,
FESC,,,subbasin == 5,"(md > 0405) * (md < 0415) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,orgN,,,21.80092354871097,0,,,,
FESE,,,,,initial_crop,FESE,3,500,1585,,,,,
FESE,,,subbasin == 1,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,39.0347216191135,0,,,,
FESE,,,subbasin == 2,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,36.147254907492844,0,,,,
FESE,,,subbasin == 3,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,33.97014690240514,0,,,,
FESE,,,subbasin == 4,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,34.11105093350544,0,,,,
FESE,,,subbasin == 5,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,41.5060272423856,0,,,,
FESE,,,subbasin == 1,,fertilizer,orgN,,,2.19159690476437,0,,,,
FESE,,,subbasin == 2,,fertilizer,orgN,,,2.19159690476437,0,,,,
FESE,,,subbasin == 3,,fertilizer,orgN,,,2.19159690476437,0,,,,
FESE,,,subbasin == 4,,fertilizer,orgN,,,2.19159690476437,0,,,,
FESE,,,subbasin == 5,,fertilizer,orgN,,,2.19159690476437,0,,,,
FESE,,,,,fertilizer,Elem-P,,,6.7,0,,,,
FESE,,,,"(md > 0610) * (md < 0620) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.9,,,,
FESE,,,subbasin == 1,"(md > 0615) * (md < 0630) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,39.0347216191135,0,,,,
FESE,,,subbasin == 2,"(md > 0615) * (md < 0630) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,36.147254907492844,0,,,,
FESE,,,subbasin == 3,"(md > 0615) * (md < 0630) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,33.97014690240514,0,,,,
FESE,,,subbasin == 4,"(md > 0615) * (md < 0630) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,34.11105093350544,0,,,,
FESE,,,subbasin == 5,"(md > 0615) * (md < 0630) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",fertilizer,minN,,,41.5060272423856,0,,,,
FESE,,,subbasin == 1,,fertilizer,orgN,,,2.19159690476437,0,,,,
FESE,,,subbasin == 2,,fertilizer,orgN,,,2.19159690476437,0,,,,
FESE,,,subbasin == 3,,fertilizer,orgN,,,2.19159690476437,0,,,,
FESE,,,subbasin == 4,,fertilizer,orgN,,,2.19159690476437,0,,,,
FESE,,,subbasin == 5,,fertilizer,orgN,,,2.19159690476437,0,,,,
FESE,,,,,fertilizer,Elem-P,,,6.7,0,,,,
FESE,,,,"(md > 0910) * (md < 0920) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (year == year(prev_op))",harvest_only,,,,0,0.9,,,,
FESI,,,,,initial_crop,FESI,3,500,1585,,,,,
FESI,,,subbasin == 1,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,1.8467016280210673,0,,,,
FESI,,,subbasin == 2,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,0.7768627828865938,0,,,,
FESI,,,subbasin == 3,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,2.040778186021239,0,,,,
FESI,,,subbasin == 4,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,1.5691249900221305,0,,,,
FESI,,,subbasin == 5,"(md > 0320) * (md < 0325) * (1 - w_log(pcp, 2, 10)) * (1 - w_log(api, 10, 25)) * (date < prev_op + 320)",fertilizer,minN,,,0,0,,,,
